geoid,state,county,tract,tract_name,total_population,total_population_moe,asian_alone,asian_alone_moe,asian_share_pct,chinese_except_taiwanese,chinese_except_taiwanese_moe,taiwanese_alone,taiwanese_alone_moe,chinese_total_estimate,chinese_total_moe,chinese_estimate_lower,chinese_estimate_upper,chinese_relative_moe,chinese_estimate_reliability,chinese_share_pct,chinese_share_of_asian_pct,median_household_income,median_household_income_moe,income_relative_moe,income_top_coded
06037920013,06,037,920013,Census Tract 9200.13; Los Angeles County; California,7253,920,946,331,13.04,44,47,0,19,44,50.695167422546305,0.0,94.6951674225463,1.1521628959669614,high_uncertainty,0.61,4.65,112083.0,29902.0,0.26678443653364026,False
06037920015,06,037,920015,Census Tract 9200.15; Los Angeles County; California,6119,818,424,99,6.93,37,47,0,19,37,50.695167422546305,0.0,87.6951674225463,1.3701396600688192,high_uncertainty,0.6,8.73,184496.0,14863.0,0.08056001214118463,False
06037920016,06,037,920016,Census Tract 9200.16; Los Angeles County; California,5345,1172,433,96,8.1,8,13,0,19,8,23.021728866442675,0.0,31.021728866442675,2.8777161083053344,high_uncertainty,0.15,1.85,176591.0,36105.0,0.2044554932018053,False
06037920017,06,037,920017,Census Tract 9200.17; Los Angeles County; California,4315,552,250,147,5.79,45,44,0,14,45,46.17358552246078,0.0,91.17358552246078,1.0260796782769064,high_uncertainty,1.04,18.0,140365.0,20537.0,0.14631140241513196,False
06037920018,06,037,920018,Census Tract 9200.18; Los Angeles County; California,1892,319,99,76,5.23,0,14,0,14,0,19.79898987322333,0.0,19.79898987322333,,zero_estimate,0.0,0.0,136719.0,27947.0,0.20441196907525655,False
06037920020,06,037,920020,Census Tract 9200.20; Los Angeles County; California,6033,441,304,151,5.04,17,27,0,19,17,33.015148038438355,0.0,50.015148038438355,1.9420675316728444,high_uncertainty,0.28,5.59,99815.0,21872.0,0.21912538195661974,False
06037920028,06,037,920028,Census Tract 9200.28; Los Angeles County; California,8576,2149,1629,559,18.99,126,149,0,19,126,150.20652449211386,0.0,276.2065244921139,1.1921152737469354,high_uncertainty,1.47,7.73,152468.0,42166.0,0.27655639216097805,False
06037920029,06,037,920029,Census Tract 9200.29; Los Angeles County; California,3317,510,158,105,4.76,0,14,0,14,0,19.79898987322333,0.0,19.79898987322333,,zero_estimate,0.0,0.0,113438.0,20206.0,0.17812373278795465,False
06037920030,06,037,920030,Census Tract 9200.30; Los Angeles County; California,5916,548,847,220,14.32,48,54,0,19,48,57.245087125446844,0.0,105.24508712544684,1.1926059817801427,high_uncertainty,0.81,5.67,152042.0,20081.0,0.1320753476013207,False
06037920031,06,037,920031,Census Tract 9200.31; Los Angeles County; California,6371,1038,1214,467,19.06,0,19,0,19,0,26.870057685088806,0.0,26.870057685088806,,zero_estimate,0.0,0.0,80179.0,26424.0,0.3295626036742788,False
